StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal,ankle_sagittal
1,19,-0.0056384,-0.0711432,-0.0881251,1.03877642,0.88408549,0.27577432,-0.6866786,-0.3237654,0.11122106,0.59576777,-0.0544484,-3.8164947,-24.639903,1.98546428
1,20,0.00857555,-0.0577174,-0.0592969,1.18061254,1.02329488,0.21509268,-0.6823998,-0.3789222,0.11482352,0.03165994,-0.5329334,-4.2547673,-24.268134,2.68226954
1,21,0.02416466,-0.0332854,-0.0124041,1.33670306,1.17325269,0.16278375,-0.7109761,-0.2349395,0.21388569,-0.6954602,-1.0264134,-4.4979264,-23.001917,3.10188993
1,22,0.03809122,8.57E-05,0.04699537,1.50273115,1.32960432,0.12013222,-0.781966,-0.0584223,0.22730233,-1.275322,-1.0294746,-4.309285,-20.754032,3.29065926
1,23,0.04840518,0.04104105,0.11396668,1.67237905,1.48693365,0.08758049,-0.8686164,0.04616417,0.13742503,-2.029183,-0.2255293,-4.3158731,-17.694718,3.35601014
1,24,0.05445047,0.08869086,0.18411765,1.83735984,1.63887273,0.06470538,-1.235321,0.06273067,0.15806906,-1.9177242,0.11572103,-4.6171648,-14.257863,3.3945639
1,25,0.05691439,0.14268882,0.25377529,1.9879465,1.77845244,0.05057518,-1.15379,0.12107238,0.47818216,-1.7750304,-0.3068246,-5.0179156,-10.925292,3.40732097
1,26,0.05785449,0.20310033,0.31995349,2.11376056,1.89860388,0.0439224,-0.9408866,-0.0772957,0.33461115,-1.1569406,-0.5085546,-5.8710575,-8.073731,3.34305604
1,27,0.06056206,0.27030979,0.38032232,2.20476029,1.99273133,0.04343539,-0.9709921,-0.0750533,0.19157841,-0.4332338,-0.6087025,-5.2024159,-5.8943977,3.17277967
1,28,0.06933907,0.34489467,0.43309876,2.25217242,2.0552037,0.04801666,-0.9676681,0.05647658,0.1084179,0.00621702,-0.4981519,-4.4814466,-4.3214743,2.93166858
1,29,0.08905812,0.42738101,0.47701353,2.24985034,2.08210636,0.05695112,-0.8993669,0.07516622,0.09246535,-0.9671541,-0.2776413,-3.7283787,-3.1341805,2.73171667
1,30,0.12480837,0.51813396,0.5110909,2.19438671,2.07108063,0.07012527,-1.1038841,-0.0513961,0.15817236,-2.1210047,-0.0549291,-3.3099394,-2.127998,2.69126419
1,31,0.1810129,0.61695948,0.53473538,2.08663365,2.02221556,0.08802741,-1.2419187,0.13707273,0.20296524,-2.3707036,0.10182956,-3.0878122,-1.2286015,2.81907126
1,32,0.26117171,0.72303877,0.54744451,1.93081288,1.93729506,0.11186319,-1.270175,0.58204364,0.17925763,-1.3773743,0.11847219,-2.6227978,-0.4793666,3.01305615
1,33,0.36676513,0.83457445,0.54902483,1.73534074,1.82044045,0.14338074,-0.4232272,0.64037819,0.15385959,-0.1345466,0.26265696,-0.7788842,0.01185947,3.15312079
1,34,0.49717443,0.94877229,0.53945081,1.51122885,1.67710324,0.18487482,-1.1242898,0.28006822,-0.0474628,0.78388522,-0.5012003,-1.6173895,0.11847494,3.17496095
1,35,0.64899952,1.06167124,0.51916778,1.27146829,1.51400813,0.2389004,-1.0411523,0.02178835,-0.4607049,0.4855177,-0.9655857,-1.3226197,-0.1887415,3.12383195
1,36,0.81618983,1.16815239,0.48921054,1.02943081,1.33840107,0.30813428,-0.9767801,-0.0655679,-0.9411891,-0.6365815,-1.0769529,-1.449084,-0.7861938,3.12212469
1,37,0.99020707,1.26209338,0.45147973,0.79767688,1.15767478,0.39510458,-0.9225993,-0.0837747,-1.0514101,-2.2483977,-0.8206544,-1.6278744,-1.4215762,3.23725131
1,38,1.16063461,1.33687651,0.40897455,0.58680699,0.97897052,0.50186411,-0.8600148,-0.1687915,-0.7277584,-3.9148072,-0.3905765,-1.7519546,-1.7739687,3.41699398
1,39,1.31600564,1.38591675,0.36589631,0.40492633,0.80887748,0.62988721,-1.0314163,-0.1233623,-0.1919924,-5.0792113,0.04752727,-1.8998393,-1.6192135,3.54016231
1,40,1.44509825,1.40386394,0.32763213,0.25690617,0.65299115,0.77951377,-1.3736654,0.09167658,0.46984627,-5.4946326,0.23129051,-1.6959842,-1.0377472,3.49920663
1,41,1.53763022,1.38685608,0.30063432,0.14499205,0.51585051,0.95011243,-1.5471562,0.29881004,0.85998873,-5.1101887,0.20087083,-1.417833,-0.3716563,3.25956513
1,42,1.5861158,1.3339529,0.29180593,0.06824524,0.40030194,1.13935774,-1.5698121,0.48862908,0.92430104,-4.327223,0.10567699,-1.3072331,0.00426611,2.86886979
1,43,1.58584541,1.24665632,0.3082631,0.02384213,0.30784677,1.34350794,-1.6362233,0.74160026,0.79851639,-3.8689144,0.01824323,-1.2538206,-0.1486607,2.38952774
1,44,1.53634779,1.1295468,0.35624604,0.0070053,0.2382582,1.55694834,-1.6829274,0.88310768,0.81817185,-3.6818866,0.02141893,-1.1237101,-0.8744323,1.83721484
1,45,1.44092932,0.98939221,0.44064659,0.01209096,0.19006312,1.77242119,-1.7954666,0.95153004,0.99255506,-3.6330523,0.0294526,-0.6810658,-2.0747063,1.18946364
1,46,1.30676574,0.83466354,0.56386907,0.03297805,0.16062526,1.98120278,-1.9367352,1.08765702,1.24219216,-3.6308798,0.00754973,-0.1738944,-3.6521932,0.42185435
1,47,1.14391522,0.67451593,0.7250635,0.06370825,0.1465524,2.17368389,-1.9443821,1.2274683,1.41096115,-3.481486,0.01048216,0.54940441,-5.5860159,-0.5110344
1,48,0.96406698,0.51786587,0.91955159,0.09892013,0.14408251,2.34008684,-1.669136,1.35125761,1.15151417,-2.6956239,0.04653495,1.18336608,-7.9057433,-1.7254119
1,49,0.77929282,0.37250872,1.13826385,0.13411866,0.14934287,2.47172007,-1.3556689,1.64052253,0.59863862,-1.2213079,0.21137399,1.45314557,-10.64983,-3.4566873
1,50,0.60070296,0.24464102,1.3682577,0.16584892,0.15877345,2.56161926,-1.2830537,1.644641,0.02117131,0.07323205,-0.2709656,2.37604824,-13.74961,-5.9677574
1,51,0.43740861,0.13821615,1.59325793,0.19178084,0.16927944,2.60630259,-1.6227278,0.46920208,-0.4313808,0.29345999,-0.6294237,2.80982917,-17.03732,-9.3316438
1,52,0.29613923,0.05527018,1.79508183,0.21054978,0.17845721,2.60551694,-1.9561484,-0.3977068,-0.4641264,0.60465794,0.30491854,3.03866228,-20.344172,-13.303265
1,53,0.1806397,-0.0043987,1.95585404,0.22174815,0.18466818,2.56330588,-2.0018587,-0.6045489,0.07078615,-1.142803,0.28198949,3.87680249,-23.569763,-17.351464
1,54,0.09220429,-0.042471,2.05974529,0.22560968,0.18700655,2.48667622,-1.9468512,-0.6766875,1.02053442,-2.3002023,0.1167237,4.76535852,-26.693298,-20.98555
1,55,0.02971935,-0.0619789,2.09577486,0.22291246,0.18525853,2.3850958,-1.7661394,-0.8495754,1.28672525,-1.4398298,-0.4101171,5.24039985,-29.716528,-23.856562
